Model,Vendor,SerialNumber,AssetTagging,Age,ServiceTag
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1DWB-A05,OSS-M530,5,5YKH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1C1B-A05,OSS-M536,5,BJLH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-923-07QB-A03,OSS-M386,5,
DELLP2219H,TRENDS,CN-0J8KCX-QDC00-943-679B-A06,OSS-M713,5,DYZS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6R6B-A06,OSS-M542,5,8PMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RDB-A06,OSS-M543,5,D1MS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PFB-A06,OSS-M544,5,J7NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PNB-A06,OSS-M545,5,H8LS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PMB-A06,OSS-M546,5,H5MS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RKB-A06,OSS-M547,5,3CLS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9BC-EK0L-A06,OSS-M548,5,27PC9W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6P6B-A06,OSS-M550,5,7ZLS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6P4B-A06,OSS-M551,5,FYMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6R3B-A06,OSS-M552,5,G0LS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RPB-A06,OSS-M553,5,BNMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6R2B-A06,OSS-M554,5,HJMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RCB-A06,OSS-M555,5,CVMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PKB-A06,OSS-M556,5,93NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9BC-EK4L-A06,OSS-M559,5,8CPC9W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9BC-ELCL-A06,OSS-M560,5,12QC9W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6P2B-A06,OSS-M561,5,10NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PLB-A06,OSS-M562,5,DYLS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6T5B-A06,OSS-M563,5,83NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RAB-A06,OSS-M564,5,B4LS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RGB-A06,OSS-M565,5,DMLS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RNB-A06,OSS-M567,5,53LS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9BC-EK3L-A06,OSS-M579,5,76NC9W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PAB-A06,OSS-M569,5,G8NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-68KB-A06,OSS-M570,5,62MS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6R8B-A06,OSS-M571,5,8JNS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6R4B-A06,OSS-M572,5,4SMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6REB-A06,OSS-M573,5,D2NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6P9B-A06,OSS-M575,5,B7NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PGB-A06,OSS-M576,5,7NLS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6P8B-A06,OSS-M578,5,D3NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6R7B-A06,OSS-M581,5,C2NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PEB-A06,OSS-M584,5,BLNS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RMB-A06,OSS-M585,5,FSMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PVB-A06,OSS-M586,5,17NS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6RLB-A06,OSS-M587,5,5WMS8W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PWB-A06,OSS-M588,5,B6NS8W2
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22JL-A09,OSS-M628,4,22KD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-228L-A09,OSS-M629,4,27JD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22BL-A09,OSS-M630,4,2BHD443
DELLP2219H,TRENDS,CN-92KMMT-QDC00-04O-7WDL-A09,OSS-M632,4,2SSDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22GL-A09,OSS-M636,4,3PHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-03O-8RDU-A09,OSS-M638,4,3X2SF03
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-216L-A09,OSS-M642,4,4HKD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-219L-A09,OSS-M643,4,4NJD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7WAL-A09,OSS-M644,4,4NTDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21ML-A09,OSS-M645,4,4XJD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21RL-A09,OSS-M646,4,4ZJD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22EL-A09,OSS-M648,4,5CHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-20QL-A09,OSS-M649,4,5ZJD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-20OL-A09,OSS-M650,4,66KD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7VNL-A09,OSS-M651,4,66TDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21VL-A09,OSS-M652,4,6JJD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21JL-A09,OSS-M653,4,6JKD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7VGL-A09,OSS-M655,4,78VDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-225L-A09,OSS-M656,4,7FKD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21SL-A09,OSS-M657,4,7HKD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21QL-A09,OSS-M658,4,7KKD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7WCL-A09,OSS-M659,4,7LVDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21FL-A09,OSS-M660,4,82HD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7VFL-A09,OSS-M663,4,94VDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-218L-A09,OSS-M664,4,98KD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22FL-A09,OSS-M665,4,9FHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21TL-A09,OSS-M668,4,9RHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04F-8T4B-A09,OSS-M669,4,9ZH6V23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05C-2N3B-A09,OSS-M670,4,9ZXQV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7VVL-A09,OSS-M671,4,B3TDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-226L-A09,OSS-M672,4,B5JD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-2EPL-A09,OSS-M673,4,BDHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-222L-A09,OSS-M675,4,BMJD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-1JVL-A09,OSS-M677,4,C7HD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21HL-A09,OSS-M678,4,CRHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7WEL-A09,OSS-M681,4,D2TDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-229L-A09,OSS-M682,4,D4KD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7W7L-A09,OSS-M683,4,D7VDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7VEL-A09,OSS-M685,4,DJTDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21YL-A09,OSS-M689,4,G1KD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-227L-A09,OSS-M690,4,G8KD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22RL-A09,OSS-M692,4,GHKD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-21XL-A09,OSS-M696,4,GZJD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7WFL-A09,OSS-M697,4,H3TDV23
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-20PL-A09,OSS-M698,4,H4JD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-1YRL-A09,OSS-M699,4,H6JD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22HL-A09,OSS-M700,4,H7HD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22IL-A09,OSS-M701,4,3VGD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-214L-A09,OSS-M702,4,HFHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-215L-A09,OSS-M703,4,HHJD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-223L-A09,OSS-M707,4,JTHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-220L-A09,OSS-M708,4,1FHD443
DELLP2219H,TRENDS,CN-02KMMT-QDC00-04O-7W6L-A09,OSS-M709,4,1HSDV23
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1K3B-A05,OSS-M419,5,JZRLQ63
DELLP2219H,TRENDS,CN-02D16T-QDC00-0AE-1KDL-A12,OSS-M476,5,9XRLQ63
DELLP2219H,TRENDS,CN-02D16T-QDC00-0AE-1KFL-A12,OSS-M525,5,74SLQ63
DELLP2219H,TRENDS,CN-02D16T-QDC00-0AE-4J5B-A12,OSS-M457,5,CLDBQ63
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-52WL-A02,OSS-M744,7,C0GRTL2
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-183-03QB-A00,OSS-M435,5,B98Y2C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0S0L-A01,OSS-M718,2,15L33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RGL-A01,OSS-M719,2,3BK33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RML-A01,OSS-M721,2,6PL33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RKL-A01,OSS-M722,2,8PJ33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0S3L-A01,OSS-M723,2,9NJ33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RJL-A01,OSS-M724,2,DRK33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RSL-A01,OSS-M725,2,GZK33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0ROL-A01,OSS-M726,2,J7K33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0S1L-A01,OSS-M727,2,17K33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RIL-A01,OSS-M728,2,3FK33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0S2L-A01,OSS-M729,2,49K33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RRL-A01,OSS-M731,2,8YJ33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0QZL-A01,OSS-M732,2,9RJ33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RWL-A01,OSS-M733,2,FGL33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RTL-A01,OSS-M734,2,HPL33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RBL-A01,OSS-M735,2,1QJ33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RNL-A01,OSS-M736,2,3LJ33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RZL-A01,OSS-M738,2,7ZK33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RXL-A01,OSS-M739,2,9JK33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RVL-A01,OSS-M740,2,BLL33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RUL-A01,OSS-M741,2,G4L33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RHL-A01,OSS-M742,2,HXJ33C3
DELLP2219H,TRENDS,CN-07RPFD-QDC00-993-33WB-A00,OSS-M390,5,GVV18W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-972-2D7L-A04,OSS-M401,5,7PR57W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1CHB-A05,OSS-M452,5,CFLH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6P5B-A06,OSS-M568,5,3CNS8W2
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-20RL-A09,OSS-M639,4,43JD443
DELLP2222H,TRENDS,CN-OCJGT7-QDC00-21T-2SLI-A03,OSS-M483,5,5JNQPK3
DELLP2219H,TRENDS,CN-07RPFD-QDC00-99E-0DGB-A07,OSS-M509,5,8ZV58W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7A5B-A03,OSS-M305,5,GZ9KYS2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-537L-A02,OSS-M746,2,41GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-544L-A02,OSS-M279,2,G2GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-28RL-A02,OSS-M368,7,1R5RTL2
DELLP2219H,TRENDS,CN-078DVT-QDC00-85Q-70KB-A02,OSS-M374,5,71199P2
DellE2216H,TRENDS,CN-0M84B9-QDC00--830-0CHB-A05,OSS-M223,1,JSGJFN2
DellP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-54GL-A02,OSS-M224,1,93GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-52HL-A02,OSS-M361,1,JZFRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53KL-A02,OSS-M354,1,H1GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-30RL-A02,OSS-M365,1,GH5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53AL-A02,OSS-M355,1,71GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-294L-A02,OSS-M366,1,CR5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-539L-A02,OSS-M377,1,61GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-28KL-A02,OSS-M367,1,DQ5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53GL-A02,OSS-M378,1,D1GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-27HL-A02,OSS-M357,1,FN5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53JL-A02,OSS-M373,1,G1GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CN-53HL-A02,OSS-M359,1,F1GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-27YL-A02,OSS-M370,1,9P5RTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-53FL-A02,OSS-M358,1,C1GRTL2
DELLP2217H,TRENDS,CN-0J8KCK-QDC00-7CM-542L-A02,OSS-M369,1,D2GRTL2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-54UL-A02,OSS-M371,1,34GRTL2
DELLP2219H,TRENDS,CN-0MDVM4-QDC00-984-76PL-A05,OSS-M389,1,FZHN7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1D0B-A05,OSS-M488,5,7SLH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1C7B-A05,OSS-M520,5,9BLH7W2
DellP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-538L-A02,OSS-M025,1,51GRTL2
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6PCB-A06,OSS-M582,2,JWMS8W2
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-22ML-A09,OSS-M704,1,J1KD443
DELLP2219H,TRENDS,CN-078DVT-QDC00-9AF-6P7B-A06,OSS-M566,2,H8MS8W2
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RPL-A01,OSS-M737,1,6NJ33C3
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RYL-A01,OSS-M720,1,3MJ33C3
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1E4B-A05,OSS-M446,1,22LH7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1D8B-A05,OSS-M497,1,1FLH7W2
DellP2219H,TRENDS,CN-078DVT-QDC00-91Q-7A2B-A03,OSS-M346,1,24BKYS2
DELLP2222H,TRENDS,CN-0CJGT7-QDC00-1A8-0RLL-A01,OSS-M730,1,7JL33C3
DELLP2219H,TRENDS,CN-078DVT-QDC00-98M-3LEB-A05,OSS-M487,1,CL1Y7W2
DELLP2219H,TRENDS,CN-078DVT-QDC00-91Q-7D1B-A03,OSS-M383,1,42BKYS2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-54HL-A02,OSS-M209,1,B3GRTL2
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1DRB-A05,OSS-M473,5,DGLH7W2
DELLP2217H,TRENDS,CN-0J8KCX-QDC00-7CM-52NL-A02,OSS-M326,7,50GRTL2
DELLP2219H,TRENDS,CN-02KMMT-QDC00-05P-221L-A09,OSS-M637,4,HDJD443
DELLP2219H,TRENDS,CN-078DVT-QDC00-97N-1E3B-A05,OSS-M531,4,6JLH7W2
DellP2219H,TRENDS,CN-0J8KCX-QDC00-7CM-546L-A02,OSS-M229,4,J2GRTL2
